22	Gecko	noAD	CHINANET	Fujian	async	1634	slow	106.0	328.0	34.0	983.0	1451.0
24	Trident unversioned	AD	CHINANET	Guangdong	async	1768	slow	511.0	145.0	86.0	449.0	1191.0
24	WebKit	noAD	CHINANET	Gansu	async	2030	slow	734.0	373.0	39.0	364.0	1510.0
17	WebKit	noAD	GWBN	Shanghai	async	1995	slow	311.0	349.0	129.0	1352.0	2141.0
14	WebKit	noAD	CHINANET	Guangdong	async	1995	slow	54.0	620.0	165.0	286.0	1125.0
36	Others	noAD	CMNET	Fujian	sync	2028	slow	1199.0	155.08	113.0	285.0	1752.08
19	Trident unversioned	noAD	UNICOM	Shanxi	sync	2027	slow	1431.0	126.99	1141.0	1062.0	3760.99
5	WebKit	AD	OTHER	Beijing	async	2027	slow	337.0	47.0	195.0	427.0	1006.0
16	WebKit	noAD	CNCGROUP	Heibei	async	1922	slow	167.0	14.0	55.0	1095.0	1331.0
33	Trident 5.0+	noAD	UNICOM	Zhejiang	async	1920	slow	1575.0	185.0	244.0	1525.0	3529.0
37	WebKit	AD	OTHER	Hunan	async	1849	slow	972.0	358.0	84.0	3033.0	4447.0
13	WebKit	noAD	OTHER	None	async	1840	slow	1137.0	392.0	78.0	62.0	1669.0
23	Trident 5.0+	noAD	CHINANET	None	async	1846	slow	446.0	6.0	284.0	1714.0	2450.0
32	Gecko	noAD	UNICOM	Guangdong	sync	1857	slow	505.0	163.38	701.0	413.0	1782.38
29	WebKit	AD	CHINANET	Zhejiang	async	1852	slow	607.0	178.0	1802.0	2330.0	4917.0
26	Trident 4.0	noAD	GWBN	Hubei	async	1873	slow	195.0	289.0	203.0	390.0	1077.0
29	WebKit	noAD	CMNET	None	async	1864	slow	3962.0	22.0	43.0	56.0	4083.0
17	Trident 5.0+	noAD	CERNET	SShanxi	async	1858	slow	843.0	260.0	98.0	483.0	1684.0
32	WebKit	noAD	CHINANET	Jiangsu	async	1824	slow	129.0	112.0	24.0	1853.0	2118.0
15	WebKit	AD	UNICOM	Yunnan	async	1892	slow	183.0	838.0	16.0	300.0	1337.0
8	WebKit	AD	CHINANET	Guangdong	async	1912	slow	110.0	1294.0	62.0	0.0	1466.0
2	WebKit	noAD	CHINANET	Yunnan	async	1866	slow	170.0	1048.0	34.0	9.0	1261.0
30	Gecko	AD	CHINANET	Guangdong	async	1866	slow	198.0	245.0	65.0	1433.0	1941.0
